id,linearization
35,36.376
36,28.442
37,19.986
38,12.800
39,19.902
40,26.657
41,20.714
42,20.178
43,24.120
44,19.256
45,16.264
46,11.658
47,18.375
48,20.652
49,32.379
50,29.794
51,20.671
1,18.806
2,17.534
3,23.135
4,19.028
5,18.274
6,24.096
7,57.683
8,27.788
9,24.585
10,16.119
11,28.876
12,19.117
13,22.880
14,25.674
15,27.288
16,22.158
17,7.345
18,39.397
19,27.173
20,9.446
21,23.766
22,13.245
23,16.139
24,25.075
25,24.687
26,39.638
27,22.187
28,30.440
29,22.188
30,20.458
31,16.201
32,28.075
33,21.330
34,69.108
