id,linearization
10066,19.876
10203,27.044
10220,33.090
10428,22.748
10435,17.015
10463,32.290
10723,16.452
10739,21.752
10742,43.460
40007,13.597
40061,26.485
40094,24.247
40100,24.298
40123,17.205
40168,15.200
40231,11.784
40250,14.160
40257,19.915
40265,20.574
40353,23.388
40363,31.253
40511,21.326
40512,19.971
40577,19.257
10753,21.307
40032,8.689
40211,12.734
40503,14.574
40646,27.376
10204,15.479
10374,33.616
10502,16.679
40067,7.600
40096,8.386
40134,15.192
40139,24.491
40242,7.865
40283,28.843
40195,8.957
40435,34.990
40492,17.060
40528,14.965
40640,9.231
40652,32.207
40700,9.326
41002,13.998
40436,17.525
40491,18.977
40737,16.803
