rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_n,eta_V0
1,10066,-5.02029455429768,0,-0.149667643980975,0,-0.316566279454838,0,-0.343926520838494,-0.743319142635379,0
2,10066,-2.45856458457205,0,-0.81180600375148,0,-0.582594963322623,0,-0.422152547293514,-0.696511597998118,0
3,10066,-2.24453760125357,0,-0.361964761905447,0,-0.369493017633792,0,-0.284479014443121,-0.7343064358515,0
4,10066,-1.47303377897047,0,-0.873986332179472,0,-0.610636089855307,0,-0.475047624845825,-0.568862911528088,0
5,10066,-6.07288838180096,0,-0.413854486814799,0,-0.44523465680727,0,-0.420201889086076,-0.764324448752886,0
6,10066,-3.26865605502794,0,-0.854045550869508,0,-0.616774612259269,0,-0.469722833971685,-0.714304145440721,0
7,10066,-3.2102581054193,0,-0.448142768864102,0,-0.403584794821258,0,-0.254212261979189,-0.761436961072695,0
8,10066,-1.87260682778445,0,-0.96075507092485,0,-0.629014916044913,0,-0.418058299139906,-0.667870609907198,0
9,10066,-2.69029714532588,0,-0.474294330856394,0,-0.410440524294441,0,-0.280290631833768,-0.706076555659678,0
10,10066,-2.99964456842282,0,-0.95911003650848,0,-0.649911190838495,0,-0.42683245176471,-0.755856360343276,0
1,10203,1.73771905161412,0,1.24778051312507,0,0.665026501975202,0,0.654553244574316,-0.980069083863024,0
2,10203,1.66578200740687,0,1.08198424916974,0,0.686864711244629,0,0.943710902406242,-1.04888246241342,0
3,10203,2.7326770643608,0,1.27161409314076,0,0.676208358724672,0,0.714467167234349,-0.848571668851246,0
4,10203,2.27309505250706,0,1.25590943982544,0,0.731564698993691,0,0.887672895764985,-0.918091854664044,0
5,10203,2.85870860298055,0,1.12567785226105,0,0.630570708680709,0,0.703632418231579,-0.915042927034318,0
6,10203,1.02493056282067,0,1.21756620226648,0,0.708106485861026,0,0.915467649975255,-0.99775866503265,0
7,10203,1.97145032373151,0,1.08967612530676,0,0.650090317911988,0,0.862603792874612,-1.10813873628472,0
8,10203,-0.0892757495313109,0,1.16541374726616,0,0.634697473764132,0,0.73658287616472,-1.35189157931226,0
9,10203,0.103329812169176,0,1.15177941543256,0,0.677258715869447,0,0.887725807499724,-1.1149808770561,0
10,10203,1.18906826193636,0,1.31511065824295,0,0.654376566693526,0,0.609943826830049,-0.985090077780638,0
1,10220,3.98898138787879,0,2.10956018061611,0,0.951564258624451,0,0.563809109998651,-1.35901468619691,0
2,10220,2.77996498297194,0,2.70599249027033,0,1.08080220513735,0,0.193823130448515,-1.46983875450508,0
3,10220,5.50990478651664,0,2.21949332810547,0,0.990977637144367,0,0.534858622676449,-1.39691268308145,0
4,10220,3.1567325495231,0,2.9085093502714,0,1.13673114675306,0,0.118412432058172,-1.58485274171316,0
5,10220,4.12962675177735,0,2.30879221874921,0,0.999985847155619,0,0.482143424779337,-1.26083967492539,0
6,10220,0.354945144614024,0,2.86248292816695,0,1.12922189946026,0,0.163293578687511,-1.81980962294271,0
7,10220,3.5806175841564,0,2.09029226240268,0,0.90819912600809,0,0.462199913171749,-1.44111146563253,0
8,10220,-0.292134924508098,0,2.90463340240256,0,1.16016266916752,0,0.213259358556574,-1.78193139044034,0
9,10220,3.73584798650375,0,2.07669624171881,0,0.915519097468474,0,0.528837312053203,-1.26813228454241,0
10,10220,3.38370460235355,0,2.70048525531976,0,1.03376845610235,0,0.0508545120737744,-1.48404948620801,0
1,10428,-0.919073987423494,0,0.346361822783278,0,-0.128944971710905,0,-0.791473205800403,-0.282042084500312,0
2,10428,-0.0924033129023276,0,0.328291448457703,0,-0.0866493481528174,0,-0.667220196229273,-0.327213635176453,0
3,10428,-1.76790487623264,0,0.263035882957566,0,-0.136494967532126,0,-0.662202395817592,-0.318222037753334,0
4,10428,0.939070201215912,0,0.344847471008581,0,-0.0633072481637168,0,-0.649775110065011,-0.307080277392037,0
5,10428,-0.709549415228136,0,0.164152749787737,0,-0.153165159016362,0,-0.6500303303816,-0.252731673189291,0
6,10428,-3.30879542570871,0,0.394559786262313,0,-0.113506446188001,0,-0.659562391333009,-0.437227450533868,0
7,10428,1.28491280848688,0,0.118099789701459,0,-0.0720058708759404,0,-0.326479447347835,-0.273108306717653,0
8,10428,-0.609241708094345,0,0.471715863990248,0,-0.0296814942390338,0,-0.925610233342892,-0.0513738565679216,0
9,10428,-0.447888608732328,0,0.216093535315515,0,-0.107225699717114,0,-0.396190395331233,-0.558803768266823,0
10,10428,-2.03304697890198,0,0.417739257440458,0,-0.101571952553586,0,-0.792900705974244,-0.341409622016401,0
1,10435,-1.92079818173492,0,-0.558623941966282,0,-0.41474110546277,0,-0.478053710064219,-0.462339009716383,0
2,10435,-4.69699537979139,0,-0.387211150068265,0,-0.3189956666251,0,-0.23663718872753,-0.736712238026371,0
3,10435,-2.90183436974936,0,-0.733066824497316,0,-0.486527492150126,0,-0.465369939737324,-0.49694810162674,0
4,10435,-3.25913162520805,0,-0.427753325513758,0,-0.305812854341071,0,-0.13804956962409,-0.82125789175087,0
5,10435,-1.54816987830024,0,-1.04919135449605,0,-0.607384398970826,0,-0.473525939337073,-0.556422539234593,0
6,10435,-3.92779689388049,0,-0.48091901815144,0,-0.328016017009556,0,-0.13062729639302,-0.849270089937793,0
7,10435,-1.8218136732586,0,-1.34872807378597,0,-0.704476555080252,0,-0.352062672031374,-0.553941256289922,0
8,10435,-1.09329332129492,0,-0.495445193233021,0,-0.341422875622943,0,-0.307694579656692,-0.545088370916392,0
9,10435,-1.33878626134862,0,-0.972682856086316,0,-0.572222958599394,0,-0.480266673941088,-0.468101712310864,0
10,10435,-2.39251450032428,0,-0.355599449898951,0,-0.313657872933616,0,-0.368778910939757,-0.540192301687815,0
1,10463,4.70200529779723,0,-0.343247842509995,0,-0.178299834673297,0,0.256173015077761,-0.490806340361063,0
2,10463,4.35794468416737,0,-1.55617240198417,0,-0.676721662304206,0,0.136694772513394,-0.678454723244626,0
3,10463,3.96969302801677,0,-0.617536370259922,0,-0.289848257552998,0,0.246738456250912,-0.721026968018046,0
4,10463,4.44685589442664,0,-1.58715745454526,0,-0.681771076717239,0,0.298496942933611,-1.03966993611293,0
5,10463,4.35921059661259,0,-0.542949262532612,0,-0.224817845382591,0,0.402004692942675,-0.836145053091452,0
6,10463,3.65955751798832,0,-1.68314859985931,0,-0.721178620341069,0,0.292556955320843,-1.04724329746989,0
7,10463,3.72296321021637,0,-0.512896594141728,0,-0.216933256468412,0,0.382598856058379,-0.918557133325697,0
8,10463,3.16591587703201,0,-1.58334283205203,0,-0.648432875278509,0,0.368528347269694,-1.0153035364691,0
9,10463,2.77460259249099,0,-0.539202627644012,0,-0.240025866986123,0,0.354221960208253,-0.889551822468567,0
10,10463,4.10283749016672,0,-1.55936729297736,0,-0.654392435423334,0,0.317498394975424,-0.885640737262758,0
1,10723,1.95950718447247,0,-0.0917461276216836,0,0.00908737678884581,0,0.139351475291068,-0.256852686388362,0
