id,linearization
10066,25.326
10203,33.567
10220,44.051
10428,22.765
10435,24.700
10463,37.379
10723,18.822
10739,25.207
10742,42.968
40007,17.942
40061,33.860
40094,27.787
40100,29.705
40123,22.580
40168,16.210
40231,15.642
40250,16.353
40257,22.878
40265,22.760
40353,30.948
40363,34.033
40511,22.065
40512,20.670
40577,25.969
10753,21.058
40032,14.804
40211,14.648
40503,17.352
40646,35.952
10204,22.232
10374,36.994
10502,24.505
40067,8.383
40096,12.521
40134,22.127
40139,19.143
40242,10.122
40283,27.185
40195,9.478
40435,32.290
40492,15.241
40528,13.311
40640,9.724
40652,35.292
40700,9.394
41002,13.195
40436,18.120
40491,24.947
40737,20.673
