id,linearization
35,56.297
36,21.851
37,11.090
38,12.572
39,27.166
40,24.173
41,17.914
42,14.691
43,18.613
44,18.933
45,19.791
46,10.961
47,18.141
48,15.534
49,21.794
50,24.570
51,23.825
1,16.197
2,15.500
3,15.542
4,18.898
5,14.120
6,25.065
7,21.673
8,29.491
9,18.711
10,13.681
11,26.223
12,19.058
13,20.122
14,17.256
15,21.984
16,16.536
17,7.377
18,22.610
19,23.548
20,5.434
21,15.150
22,13.382
23,17.410
24,20.543
25,18.205
26,34.100
27,14.768
28,28.524
29,18.058
30,21.788
31,22.787
32,19.140
33,25.034
34,59.407
