id,linearization
35,40.524
36,22.364
37,17.767
38,17.646
39,31.200
40,40.933
41,17.249
42,19.746
43,24.939
44,27.118
45,19.091
46,16.234
47,19.678
48,20.503
49,27.507
50,23.013
51,28.573
1,22.458
2,16.045
3,21.925
4,25.083
5,20.768
6,36.783
7,25.139
8,26.915
9,20.289
10,20.583
11,24.638
12,25.332
13,20.350
14,17.736
15,26.930
16,18.582
17,9.601
18,28.530
19,37.954
20,7.173
21,24.594
22,24.066
23,22.601
24,25.096
25,21.268
26,40.840
27,25.870
28,25.809
29,30.927
30,22.760
31,23.588
32,27.942
33,20.274
34,57.646
