rep,id,initT,aS,dS,tau,lBt0,lp,dI,n,V0
1,10066,3.83006616892346e-16,9,2.6898558920198e-05,0.05,-3.87227554057321,3,1.38411699007846,0.446340371143476,1
2,10066,2.71910327583066e-21,9,2.27531449289161e-05,0.05,-3.49979486302417,3,1.83894766829875,0.5897302599693,1
3,10066,1.98796245655596e-12,9,1.95839644502824e-05,0.05,-3.53792962834961,3,1.80549477293561,0.608519732422224,1
4,10066,1.44855656914781e-11,9,1.35689917786997e-05,0.05,-3.44876930691917,3,1.72014815060385,0.648370717333686,1
5,10066,1.18142862420089e-13,9,2.45379423974091e-05,0.05,-3.46925521056952,3,1.8888126172109,0.541858170653617,1
6,10066,5.68641568012899e-13,9,2.08286955807799e-05,0.05,-3.53437456938363,3,1.59209111391682,0.4200597734487,1
7,10066,3.94031628083269e-16,9,2.18583023586452e-05,0.05,-3.79283568777811,3,1.65678633777131,0.56016852422774,1
8,10066,6.56502794293862e-12,9,1.51501852050568e-05,0.05,-3.41045754159156,3,1.68160650132654,0.709546832277397,1
9,10066,2.66824257886964e-12,9,3.04032665384238e-05,0.05,-3.54926199030515,3,2.30991388023964,0.568267494178938,1
10,10066,2.24881441574603e-24,9,2.23276736683815e-05,0.05,-3.64695329411726,3,1.86298921719306,0.68860105162891,1
1,10203,0.00047219435586026,9,1.71293760772478e-05,0.05,-3.25667448285597,3,1.56409365282441,0.716127327522832,1
2,10203,9.34975042381383e-13,9,1.86432996803095e-05,0.05,-3.25849442757534,3,1.85874951276034,0.525181906897304,1
3,10203,4.79606208353936e-06,9,2.52545070124541e-05,0.05,-3.82022197422399,3,2.67489323647256,0.396789884757167,1
4,10203,4.68323023149899e-14,9,1.69479870633752e-05,0.05,-2.8947109681733,3,1.86044723874644,0.513094752647009,1
5,10203,3.70371311716557e-11,9,3.05680528122271e-05,0.05,-3.15400832651034,3,1.64515739963485,0.563139781718341,1
6,10203,2.78791968638044e-21,9,1.89207107613039e-05,0.05,-2.91263478563132,3,2.63086533610471,0.474694967786354,1
7,10203,3.29198579559685e-15,9,1.5225626503688e-05,0.05,-2.69631315168789,3,1.42694627419885,0.689432587086399,1
8,10203,8.18170919183418e-09,9,2.88185977382404e-05,0.05,-2.71017925165275,3,2.152206660197,0.642985966330976,1
9,10203,3.00036503717996e-16,9,1.81946592690367e-05,0.05,-3.15139066150964,3,1.43550884534114,0.553311799339343,1
10,10203,1.69479367685491e-17,9,1.58246918192753e-05,0.05,-3.23482783006873,3,1.81616589204362,0.458198392268279,1
1,10220,4.90303352157611e-14,9,2.68130359132981e-05,0.05,-3.0676230031189,3,1.29080204594324,0.461452591343579,1
2,10220,5.07226341624584e-08,9,2.23354021042221e-05,0.05,-2.86325404597842,3,1.42369356505899,0.459321764643301,1
3,10220,7.01469562345416e-11,9,3.14550281928389e-05,0.05,-4.11532294847912,3,1.65231530692782,0.565297538311405,1
4,10220,1.13739251726997e-12,9,2.16505274559577e-05,0.05,-3.18315361141378,3,1.52675146530272,0.533728162316465,1
5,10220,1.19754510816182e-09,9,2.96032597588201e-05,0.05,-3.27408030873055,3,1.74245128133043,0.538686950898734,1
6,10220,9.44525858177077e-16,9,2.45451609011404e-05,0.05,-3.63321935246866,3,1.42606973370244,0.328498825675379,1
7,10220,1.6421701300252e-15,9,3.55542101545663e-05,0.05,-3.00188635905228,3,1.63940648493497,0.637046631064679,1
8,10220,4.17510980034897e-17,9,3.0107498349226e-05,0.05,-3.23286667655208,3,2.39532580076175,0.375224481929584,1
9,10220,2.80978512109114e-20,9,1.59215727414216e-05,0.05,-3.49522883299756,3,1.9859622728651,0.334984311664333,1
10,10220,0.00135956439231213,9,6.43420469207739e-05,0.05,-3.25496352888199,3,2.17891699957926,0.344540851262502,1
1,10428,1.26987793635782e-16,9,1.45247457591251e-05,0.05,-3.57652174873967,3,1.7749802270972,0.57082576149766,1
2,10428,7.00607309264121e-07,9,2.63026679398662e-05,0.05,-3.2604350309553,3,1.95502964393263,0.480545478858888,1
3,10428,1.80498046562154e-05,9,2.42296502049682e-05,0.05,-3.50193157558164,3,2.11070831613444,0.744011036693466,1
4,10428,5.88487243665447e-16,9,2.64803493707346e-05,0.05,-3.43398240337842,3,1.78184500043368,0.935508151090669,1
5,10428,3.08439131177027e-08,9,1.8194524962231e-05,0.05,-3.61399240486183,3,1.99293985920654,0.550078410810113,1
6,10428,2.00133968554926e-13,9,2.95587789269943e-05,0.05,-3.8207029080667,3,1.53496361049432,0.692104402205098,1
7,10428,7.32065307554505e-09,9,2.48459191475839e-05,0.05,-3.39549262130637,3,1.64243978720173,0.457270277109867,1
8,10428,8.60699576628507e-10,9,2.04111670576004e-05,0.05,-3.56809416590709,3,2.01141129641071,0.541803158037817,1
9,10428,9.00916485222214e-16,9,2.95445529305442e-05,0.05,-3.48548415492699,3,2.04868951118561,0.684669143576587,1
10,10428,4.50432177944025e-14,9,2.05951392387261e-05,0.05,-3.59668131172223,3,1.51935044700518,0.804737988121228,1
1,10435,1.52599337633027e-14,9,2.60884363674822e-05,0.05,-3.2835156172521,3,1.710334997593,0.532347460208783,1
2,10435,4.72273000158878e-15,9,2.5228026703009e-05,0.05,-3.48350155754391,3,1.66856396021892,0.875458247636318,1
3,10435,2.30631106906445e-11,9,5.05180604998563e-05,0.05,-3.36238746243444,3,2.3080654815104,0.580035188753396,1
4,10435,5.62775699030254e-15,9,2.2028878838807e-05,0.05,-3.34313358530457,3,1.41952059393471,0.663620532575546,1
5,10435,1.81345509356131e-09,9,3.28353064906767e-05,0.05,-3.57051196116273,3,1.73232440585875,0.506403167722778,1
6,10435,3.1765938822253e-10,9,3.77415833893996e-05,0.05,-4.05107569980671,3,2.22216989241087,0.400129044013169,1
7,10435,6.3074448826693e-11,9,2.10646179322846e-05,0.05,-3.20647723803971,3,1.92460061801839,0.662558903138169,1
8,10435,5.86496550334032e-10,9,4.12447657595154e-05,0.05,-3.02027898479896,3,2.00792040060141,0.748560776107524,1
9,10435,1.09590675530052e-09,9,3.67980488149693e-05,0.05,-3.95322204967133,3,1.75371658551285,0.555764721034349,1
10,10435,2.22145155608431e-16,9,2.71111226501918e-05,0.05,-2.40618585154141,3,2.05060817482368,0.836934896757738,1
1,10463,9.92493837498372e-14,9,2.1716745068316e-05,0.05,-3.55476555203062,3,1.72186199957858,0.565990663876743,1
2,10463,3.07748890844463e-13,9,2.60906110783844e-05,0.05,-3.43302136853383,3,3.10951827044029,0.652546357536243,1
3,10463,2.38998260855837e-12,9,1.45678503891518e-05,0.05,-3.2133275842204,3,1.71858573282767,0.892764391282802,1
4,10463,7.68376511469851e-23,9,6.3143366690213e-05,0.05,-3.53818997497579,3,1.85632886215824,0.865210518366828,1
5,10463,8.35026809796157e-05,9,1.60377403705896e-05,0.05,-3.09391163667865,3,1.76040147101493,0.785465378945524,1
6,10463,7.13890266296683e-06,9,2.12482821666565e-05,0.05,-3.21367151327225,3,2.08283379427921,0.590640979948348,1
7,10463,3.6596008384437e-20,9,2.49081387168381e-05,0.05,-3.83984596097408,3,1.65536273105312,0.626554017276675,1
8,10463,5.21605815031684e-10,9,3.47739981287379e-05,0.05,-3.59534144608403,3,1.63191630118245,0.594706223567291,1
9,10463,5.45254118707547e-14,9,2.79909083148414e-05,0.05,-3.55855764422204,3,2.31000776063088,0.64320031028262,1
10,10463,0.00223840788413604,9,1.40920355064022e-05,0.05,-3.26173852914618,3,1.6732377266974,0.482471754424153,1
1,10723,7.96599149662258e-19,9,2.89256995456892e-05,0.05,-3.01399813773451,3,1.88766620273498,0.865119287978929,1
2,10723,4.34269216389469e-11,9,1.81466787185348e-05,0.05,-2.84092298526561,3,1.654614073203,0.44157472775865,1
3,10723,1.61465680874284e-08,9,4.31776509102246e-05,0.05,-3.14076551585115,3,2.38584670880178,0.781618590668013,1
4,10723,5.76966274250338e-07,9,2.2401518472279e-05,0.05,-3.0527494671989,3,2.00068510209136,0.466967722771303,1
