id,linearization
35,42.624
36,33.200
37,16.114
38,12.247
39,27.501
40,28.070
41,28.762
42,19.411
43,23.685
44,27.144
45,24.918
46,12.765
47,21.896
48,16.995
49,28.377
50,31.805
51,22.984
1,18.365
2,24.074
3,20.847
4,23.085
5,18.372
6,19.342
7,33.834
8,26.573
9,33.132
10,16.290
11,29.751
12,23.468
13,24.876
14,20.303
15,26.517
16,19.638
17,5.689
18,27.201
19,30.133
20,8.088
21,24.038
22,15.166
23,14.509
24,23.012
25,28.892
26,32.491
27,15.126
28,30.217
29,22.512
30,17.492
31,17.661
32,38.045
33,28.486
34,35.519
