id,linearization
35,54.541
36,62.365
37,22.779
38,22.895
39,35.126
40,29.739
41,33.784
42,31.483
43,29.831
44,35.154
45,36.255
46,20.252
47,32.123
48,28.651
49,45.326
50,32.929
51,32.856
1,31.102
2,34.265
3,30.538
4,34.544
5,28.876
6,37.305
7,40.225
8,33.615
9,36.683
10,26.738
11,32.851
12,34.329
13,37.446
14,33.710
15,34.139
16,27.621
17,11.010
18,43.535
19,33.560
20,11.755
21,23.553
22,25.640
23,25.829
24,26.240
25,43.985
26,50.162
27,26.900
28,34.725
29,27.927
30,30.478
31,28.224
32,33.010
33,35.729
34,67.184
