id,linearization
35,50.714
36,26.853
37,11.315
38,15.055
39,24.607
40,33.815
41,21.133
42,16.077
43,18.355
44,20.690
45,21.169
46,12.627
47,19.680
48,17.303
49,35.591
50,29.728
51,28.499
1,17.264
2,17.353
3,15.824
4,18.780
5,15.403
6,25.496
7,22.334
8,25.712
9,20.699
10,19.247
11,23.789
12,18.880
13,19.070
14,18.393
15,19.765
16,15.442
17,7.953
18,35.155
19,24.171
20,5.219
21,17.670
22,18.485
23,19.728
24,18.561
25,18.654
26,35.542
27,20.059
28,24.426
29,22.033
30,21.814
31,24.907
32,21.818
33,23.916
34,55.895
